country,total_population,pop_under_18,pop_under_5,an_pop_growth_2000_2020,an_pop_growth_2020_2030,,total_fertility,life_exp_1970,life_exp_2000,life_exp_2021,dep_ratio_total,dep_ratio_child,dep_ratio_oldage,urban_pop_share,ann_growth_rate_2000_2020,ann_growth_rate_2020_2030,,net_mig_rate,under_five_mort_1990,under_five_mort_1992,under_five_mort_1994,under_five_mort_1996,under_five_mort_1998,under_five_mort_2000,under_five_mort_2002,under_five_mort_2004,under_five_mort_2006,under_five_mort_2008,under_five_mort_2010,under_five_mort_2012,under_five_mort_2014,under_five_mort_2016,under_five_mort_2018,under_five_mort_2020,under_five_mort_2022,under_five_mort_2024,female_life_exp_2021,materal_universal_health_2019,family_planning_demand_2016_2021,antenatal_care_1_visit,antenatal_care_4_visit,per_birth_attendent,per_inst_delivery,per_c_section,num_materal_deaths,maternal_mort_ratio,total_ece_attendence,male_ece_attendance,female_ece_attendance,low20_ece_attend,high20_ece_attend,total_earlystim,male_earlystim,female_earlystim,low20_earlystim,high20_earlystim,books_athome,toys_athome,total_inq_sup,male_inq_sup,female_inq_sup,low20_inq_sup,high20_inq_sup,total_development_ontrack,male_development_ontrack,female_development_ontrack,low20_development_ontrack,high20_development_ontrack,oos_ male_age_beforeprimary,oos_female_age_beforeprimary,oos_male_primaryrate,oos_female_primaryrate,oos_male_lowsecrate,oos_female_lowsecrate,oos_male_upsecrate,oos_female_upsecrate,male_primary_complrate,female_primary_complrate,male_lowsec_complrate,female_lowsec_complrate,male_upsec_complrate,female_upsec_complrate,lo_grade3_prof_read,lo_grade3_prof_math,lo_endprim_prof_read,lo_endprim_prof_math,lo_lowsec_prof_read,lo_lowsec_prof_math,youth_lit_rate_male,youth_lit_rate_female,child_labor_total,child_labor_male,child_labor_female,child_marriage_female,child_marriage_male,child_under1_total,child_under5_total,child_under5_male,child_under5_female,mother_nb_cb,prop_child_socoprotect,bottom40_socoprotect_bene,top20_socoprotect_bene,bottom20_socoprotect_bene,bottom40_householdincomeshare,top20_householdincomeshare,bottom20_householdincomeshare,gini_coef,palma_index,vmr_ratio,gdp_percaptia,sigi_index,gender_eq_legal,maternity_leave,paternity_leave,ed_attan_us_male,ed_attan_us_female,rural_lf_part_rate_male,urban_lf_part_rate_male,total_lf_part_rate_male,rural_lf_part_rate_female,urban_lf_part_rate_female,total_lf_part_rate_female,rural_unemploy_male,urban_unemploy_male,total_unemploy_male,rural_unemploy_female,urban_unemploy_female,total_unemploy_female,male_mobilephone,female_mobilephone,finanical_inclusion_male,finanical_inclusion_female,unpaid_time_use_male,unpaid_time_use_female
Austria,8922,1542,431,1,0,85,1,70,78,82,51,22,29,59,0,1,,2,10,6,4,2,4,3,8,3,5,3,2,2,1,3,2,1,308,198,84,82,-,-,-,98,99,24,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,0,0,1,0,11,9,-,-,-,-,-,-,-,-,98,84,76,79,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,21,39,8,28,1,1,50122,Very low,-,Yes,Yes,86,75,67,67,67,56,55,55,2,6,5,2,6,4,-,-,-,-,-,-
Azerbaijan,10313,2896,705,1,0,127,2,59,65,69,44,34,10,57,2,1,,0,95,75,19,7,20,17,76,17,31,34,10,6,3,19,9,4,2435,1210,73,65,22,92,96,100,96,26,54,41,11,12,11,5,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,17,12,9,1,0,0,0,-,-,-,-,-,-,-,-,81,72,-,-,100,100,-,-,-,11,0,88,94,93,94,16,17,29,33,17,-,-,-,27,1,1,4793,Low,-,Yes,No,92,85,66,72,70,60,65,63,3,5,4,4,7,6,88,80,29,28,-,-
Bahamas,408,100,23,1,1,5,1,66,72,72,39,27,12,83,1,1,,1,23,16,13,1,14,12,20,11,14,8,7,4,2,12,11,0,61,33,75,70,-,98,85,99,-,-,4,77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,-,-,41,2,-,34864,-,-,No,No,81,82,79,83,82,68,71,70,10,10,10,10,10,10,-,-,-,-,-,-
Bahrain,1463,348,98,3,1,18,2,64,75,79,31,27,5,90,4,1,,-6,23,12,7,3,7,7,20,6,15,5,3,4,2,8,6,2,128,52,80,71,-,100,100,100,98,-,3,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,28,2,3,7,0,18,6,-,-,-,-,-,-,-,-,69,54,-,55,-,-,-,-,-,-,-,-,100,100,100,-,57,-,-,-,-,-,-,60,-,-,23504,-,-,No,Yes,69,67,84,89,87,44,46,45,0,1,1,4,5,5,100,100,86,75,-,-
Bangladesh,169356,54801,14663,1,1,3020,2,43,66,72,48,39,9,39,4,3,,-1,146,86,27,6,29,25,101,23,66,44,16,24,5,41,21,3,82081,48319,74,51,77,75,37,59,53,36,3700,123,19,19,19,15,26,63,63,63,47,79,6,67,11,11,11,17,6,75,71,78,68,84,-,-,-,-,40,25,40,33,76,89,59,71,32,27,-,-,-,-,-,-,93,96,7,9,5,51,4,40,56,56,56,21,29,44,18,24,21,41,9,48,3,1,1856,Very high,-,Yes,No,42,32,81,82,82,39,31,36,3,4,3,6,9,7,-,-,-,-,-,-
Barbados,281,59,15,0,0,3,2,68,74,78,49,26,23,31,0,1,,0,18,15,12,1,13,11,16,11,12,9,8,3,2,8,8,0,36,24,79,74,70,93,88,98,100,21,1,39,90,88,91,90,97,97,97,97,100,100,85,76,1,2,1,0,3,97,95,99,100,100,13,12,2,3,4,4,8,4,99,99,98,98,91,97,-,-,-,-,-,-,-,-,1,2,1,29,-,94,99,99,99,-,-,-,-,-,-,-,-,32,3,-,18148,-,-,No,No,23,25,67,70,69,60,63,62,10,10,10,10,10,10,-,-,-,-,-,-
Belarus,9578,1901,474,0,0,89,1,71,69,72,51,25,25,80,0,0,,1,15,13,3,7,3,2,12,2,10,5,1,4,1,5,2,4,251,78,78,74,73,100,100,100,100,31,1,1,91,91,91,80,95,97,96,98,92,99,91,81,2,2,2,3,3,87,84,89,82,87,0,4,5,6,1,1,8,5,100,100,99,99,98,98,82,73,-,-,77,71,100,100,4,5,3,5,2,-,100,100,100,100,-,50,17,27,24,35,10,25,1,1,6698,Low,50,Yes,No,96,94,68,74,72,55,60,58,4,7,6,2,4,4,95,97,81,81,-,-
Belgium,11611,2329,599,1,0,116,2,71,78,82,57,26,30,98,1,0,,5,10,6,4,2,5,4,8,3,5,3,2,2,1,3,3,1,476,283,84,85,-,-,-,-,-,18,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,1,0,0,0,2,2,-,-,-,-,-,-,-,-,97,80,79,80,-,-,-,-,-,0,-,-,100,100,100,100,100,-,-,-,23,36,9,25,1,1,46345,Very low,-,Yes,Yes,72,71,60,59,59,52,49,49,4,6,6,4,5,5,-,-,-,-,-,-
Belize,400,136,37,2,1,7,2,63,69,70,50,42,7,46,2,2,,1,38,24,11,4,12,10,31,10,19,12,7,5,3,10,7,2,80,53,74,67,65,97,93,95,96,34,9,130,55,52,58,29,72,88,89,86,80,94,44,68,13,15,11,15,11,83,80,85,76,91,15,16,1,2,14,16,35,28,95,96,55,66,48,51,-,-,-,-,-,-,-,-,3,4,3,34,22,90,96,95,96,20,3,-,-,-,-,-,-,53,4,1,4815,-,-,Yes,No,41,46,83,79,81,43,58,50,3,6,4,9,10,10,-,-,-,-,-,-
Benin,12997,6376,2137,3,2,476,5,42,57,60,84,78,6,49,4,3,,0,173,137,84,2,89,77,104,55,45,39,29,42,19,28,20,2,38680,13907,61,38,28,83,52,78,84,5,2500,523,19,18,20,5,49,39,39,39,32,56,2,55,29,28,30,36,22,54,52,56,45,65,15,16,4,10,38,46,59,69,51,44,25,13,12,5,38,62,46,19,-,-,70,52,25,24,26,31,5,87,86,85,86,41,12,-,-,-,13,52,3,48,3,1,1219,Medium,-,Yes,Yes,2,0,76,69,73,72,65,69,1,4,2,1,4,3,-,-,-,-,-,-
