country,total_population,pop_under_18,pop_under_5,an_pop_growth_2000_2020,an_pop_growth_2020_2030,,total_fertility,life_exp_1970,life_exp_2000,life_exp_2021,dep_ratio_total,dep_ratio_child,dep_ratio_oldage,urban_pop_share,ann_growth_rate_2000_2020,ann_growth_rate_2020_2030,,net_mig_rate,under_five_mort_1990,under_five_mort_1992,under_five_mort_1994,under_five_mort_1996,under_five_mort_1998,under_five_mort_2000,under_five_mort_2002,under_five_mort_2004,under_five_mort_2006,under_five_mort_2008,under_five_mort_2010,under_five_mort_2012,under_five_mort_2014,under_five_mort_2016,under_five_mort_2018,under_five_mort_2020,under_five_mort_2022,under_five_mort_2024,female_life_exp_2021,materal_universal_health_2019,family_planning_demand_2016_2021,antenatal_care_1_visit,antenatal_care_4_visit,per_birth_attendent,per_inst_delivery,per_c_section,num_materal_deaths,maternal_mort_ratio,total_ece_attendence,male_ece_attendance,female_ece_attendance,low20_ece_attend,high20_ece_attend,total_earlystim,male_earlystim,female_earlystim,low20_earlystim,high20_earlystim,books_athome,toys_athome,total_inq_sup,male_inq_sup,female_inq_sup,low20_inq_sup,high20_inq_sup,total_development_ontrack,male_development_ontrack,female_development_ontrack,low20_development_ontrack,high20_development_ontrack,oos_ male_age_beforeprimary,oos_female_age_beforeprimary,oos_male_primaryrate,oos_female_primaryrate,oos_male_lowsecrate,oos_female_lowsecrate,oos_male_upsecrate,oos_female_upsecrate,male_primary_complrate,female_primary_complrate,male_lowsec_complrate,female_lowsec_complrate,male_upsec_complrate,female_upsec_complrate,lo_grade3_prof_read,lo_grade3_prof_math,lo_endprim_prof_read,lo_endprim_prof_math,lo_lowsec_prof_read,lo_lowsec_prof_math,youth_lit_rate_male,youth_lit_rate_female,child_labor_total,child_labor_male,child_labor_female,child_marriage_female,child_marriage_male,child_under1_total,child_under5_total,child_under5_male,child_under5_female,mother_nb_cb,prop_child_socoprotect,bottom40_socoprotect_bene,top20_socoprotect_bene,bottom20_socoprotect_bene,bottom40_householdincomeshare,top20_householdincomeshare,bottom20_householdincomeshare,gini_coef,palma_index,vmr_ratio,gdp_percaptia,sigi_index,gender_eq_legal,maternity_leave,paternity_leave,ed_attan_us_male,ed_attan_us_female,rural_lf_part_rate_male,urban_lf_part_rate_male,total_lf_part_rate_male,rural_lf_part_rate_female,urban_lf_part_rate_female,total_lf_part_rate_female,rural_unemploy_male,urban_unemploy_male,total_unemploy_male,rural_unemploy_female,urban_unemploy_female,total_unemploy_female,male_mobilephone,female_mobilephone,finanical_inclusion_male,finanical_inclusion_female,unpaid_time_use_male,unpaid_time_use_female
Cabo Verde,588,188,50,1,1,10,2,54,69,74,47,39,8,67,2,1,,-2,60,38,14,5,15,12,47,12,20,19,8,6,2,15,9,2,136,84,79,69,73,99,86,97,97,11,4,42,88,87,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,18,7,8,12,13,29,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,2,-,91,-,-,19,38,-,-,-,15,49,6,46,2,1,3604,-,70,No,Yes,20,20,61,71,67,40,60,53,9,14,13,8,13,12,73,71,-,-,-,-
Cambodia,16589,5756,1613,1,1,321,2,39,59,70,53,45,8,25,3,3,,-1,116,106,25,7,28,22,85,21,40,35,13,32,4,25,11,4,8013,4119,72,61,57,95,76,89,83,6,710,218,15,12,17,7,38,45,42,48,33,60,4,34,10,10,10,16,4,73,74,73,67,82,30,29,11,11,17,12,54,56,68,79,41,39,20,20,-,-,11,19,8,10,-,-,13,12,14,19,4,64,73,74,73,2,5,-,-,-,-,-,-,31,1,1,1643,Low,-,No,No,15,5,89,84,88,80,69,77,0,0,0,0,0,0,62,62,22,22,-,-
Cameroon,27199,13339,4346,3,2,951,4,48,53,60,82,77,5,58,4,3,,0,136,144,70,4,75,64,85,47,40,35,26,32,21,24,19,1,64977,24360,62,44,45,87,65,69,67,4,4100,438,28,27,29,2,66,44,45,44,50,52,4,53,34,34,35,52,23,61,59,63,56,73,56,57,4,13,33,40,50,58,75,74,52,43,26,21,39,58,30,11,-,-,88,82,39,40,38,30,3,56,62,62,62,1,2,1,51,0,13,52,5,47,3,1,1507,Very high,50,Yes,Yes,25,11,84,78,81,78,63,71,1,5,3,1,8,4,-,-,39,30,5,16
Canada,38155,7215,1901,1,1,374,1,73,79,83,52,24,28,82,1,1,,5,8,6,5,1,5,5,7,4,4,4,3,2,1,3,3,1,1873,1274,85,89,-,100,99,98,98,26,41,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,0,0,12,12,-,-,-,-,-,-,-,-,96,69,86,84,-,-,-,-,-,-,-,-,100,100,100,100,40,-,-,-,20,41,7,30,1,1,46190,Very low,-,Yes,Yes,84,85,68,71,70,59,62,61,6,6,6,5,5,5,-,-,-,-,-,-
Central African Republic,5457,3045,985,2,3,235,6,45,45,54,103,98,5,43,2,4,,-16,177,166,100,2,107,93,115,75,51,43,32,30,23,31,26,1,22387,7483,56,32,28,52,41,40,58,2,1900,835,6,6,7,2,27,27,28,26,24,39,0,56,49,49,49,50,47,36,34,39,35,46,-,-,-,-,43,61,76,86,30,24,15,10,8,5,-,-,-,-,-,-,48,29,27,25,29,61,17,41,45,46,44,0,0,-,-,-,-,-,-,56,4,0,468,High,-,Yes,Yes,3,0,85,68,80,69,55,65,2,8,4,3,9,4,-,-,-,-,-,-
Chad,17180,9343,3218,3,3,745,6,41,47,53,99,95,4,24,4,4,,1,212,184,107,3,114,100,112,66,52,44,32,49,23,32,25,1,76471,24070,54,28,18,55,31,39,27,1,7800,1063,1,1,1,0,4,55,54,55,53,56,1,58,64,64,64,63,63,45,43,47,42,48,85,87,17,35,55,70,71,85,30,23,18,9,7,3,34,65,8,2,-,-,-,-,39,39,40,61,8,22,26,26,26,-,-,3,65,1,15,49,5,43,2,1,710,High,-,Yes,Yes,9,2,82,66,77,68,55,64,1,4,2,1,4,2,-,-,-,-,-,-
Chile,19493,4313,1151,1,0,229,2,62,77,79,45,27,18,88,1,0,,6,19,11,7,2,7,6,16,6,9,6,4,3,1,4,3,2,1492,981,81,80,-,-,-,100,100,50,34,15,-,-,-,-,-,93,93,94,91,96,-,98,1,1,1,1,0,-,-,-,-,-,4,5,0,1,3,4,5,5,96,97,94,97,83,88,-,-,-,-,68,33,-,-,6,7,5,-,-,-,99,-,-,47,69,42,11,19,16,51,6,48,3,1,14896,Medium,80,Yes,Yes,60,58,75,73,73,43,53,52,5,7,7,7,8,8,87,97,78,71,-,-
China,1425893,300092,74790,1,0,10882,1,57,72,78,45,26,19,63,3,1,,0,54,37,7,8,7,7,43,5,30,21,3,7,2,15,5,5,88271,34850,81,82,97,100,93,100,100,41,2800,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,97,93,93,63,67,82,85,-,-,80,79,100,100,-,-,-,-,-,-,-,-,-,69,3,48,16,24,17,45,7,47,2,1,10217,-,-,Yes,Yes,25,19,85,70,76,68,56,61,4,6,5,3,5,4,-,-,-,-,-,-
Colombia,51517,13536,3670,1,1,730,2,62,71,73,44,31,13,82,2,1,,4,36,25,13,3,14,11,29,11,18,14,7,5,2,9,7,1,9382,5106,76,78,87,97,90,99,97,43,550,75,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,2,1,2,0,18,16,91,95,74,81,69,78,-,-,-,-,50,35,99,99,7,7,7,23,7,94,97,97,97,-,36,68,3,39,12,56,4,53,4,1,6429,Very low,90,Yes,Yes,52,54,85,79,80,43,59,56,4,9,8,10,13,13,72,74,49,42,3,5
Comoros,822,363,114,2,2,24,4,45,59,63,74,67,7,30,2,3,,-2,126,96,50,3,52,47,89,39,50,40,26,16,5,30,24,1,1192,622,66,44,29,92,49,82,76,10,52,217,14,13,15,10,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,70,18,18,20,18,52,48,75,77,47,45,24,32,-,-,-,-,-,-,78,78,28,25,32,32,12,87,87,87,87,-,-,-,-,-,14,50,5,45,2,1,1370,-,-,Yes,No,-,-,57,57,57,35,34,34,5,8,6,9,12,10,-,-,-,-,-,-
Congo,5836,2786,847,3,2,179,4,54,54,64,79,74,5,68,4,3,,-1,91,114,43,5,47,39,60,32,27,30,18,31,7,21,16,1,7604,3297,65,40,43,94,79,91,92,5,500,282,36,36,37,7,77,59,59,58,47,77,3,51,42,42,41,54,30,61,57,65,46,72,71,70,15,16,-,-,-,-,78,82,56,45,28,19,63,86,34,8,-,-,85,79,14,13,15,27,6,94,96,96,96,-,-,-,-,-,12,54,4,49,3,1,2280,-,-,Yes,No,14,4,78,67,71,77,61,68,3,14,9,3,17,10,-,-,-,-,-,-
Cook Islands,17,5,1,0,0,0,2,64,70,75,54,36,17,76,1,0,,-9,24,18,7,4,7,7,20,6,13,10,4,5,2,10,5,3,2,1,79,-,-,100,-,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,0,2,2,1,1,34,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Costa Rica,5154,1278,329,1,1,61,2,65,78,77,45,30,15,81,3,1,,0,17,13,8,3,8,7,14,6,9,8,5,3,2,5,4,1,479,328,80,78,81,98,94,99,98,28,14,22,44,41,47,41,52,76,75,77,66,87,39,82,7,7,7,7,6,86,82,90,79,94,2,1,3,3,4,4,9,7,98,99,70,76,56,60,-,-,-,-,58,40,99,100,4,4,3,17,-,-,100,100,100,23,39,64,3,30,13,54,4,50,3,1,12244,Low,60,Yes,No,39,42,79,77,77,43,55,52,8,10,9,16,15,15,86,86,75,61,8,22
Côte d'Ivoire,27478,13379,4202,2,2,933,4,44,51,59,79,75,4,52,3,3,,-1,153,143,75,3,83,67,104,56,49,46,32,28,24,30,22,1,68056,30095,60,45,44,93,51,74,70,3,4400,480,14,14,15,2,51,29,29,29,18,61,1,45,20,20,19,20,18,63,61,65,63,72,78,72,0,7,40,44,53,63,60,53,36,22,17,15,33,68,22,3,-,-,93,76,22,22,23,27,4,66,72,75,71,-,-,4,57,1,16,48,6,61,6,1,2276,High,80,Yes,Yes,16,12,68,59,63,45,44,45,1,5,3,1,6,4,71,64,47,36,-,-
Croatia,4060,691,180,0,-1,35,1,69,75,78,57,22,34,58,0,0,,-3,13,8,5,3,5,4,11,4,8,6,3,3,1,5,3,3,165,97,81,73,-,-,98,100,-,24,2,5,82,81,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,-,-,-,-,14,10,-,-,-,-,-,-,-,-,-,70,78,69,-,-,-,-,-,-,-,-,100,100,100,100,-,61,12,39,21,38,8,29,1,1,14944,Very low,-,Yes,Yes,79,63,58,58,58,41,48,45,6,6,6,8,7,7,-,-,-,-,-,-
Cuba,11256,2142,553,0,0,100,1,68,76,74,46,23,23,77,0,0,,-1,14,9,5,3,5,4,11,4,7,4,2,4,2,11,7,2,526,239,76,80,87,99,79,100,100,31,42,39,50,47,53,-,-,90,89,91,-,-,42,86,2,2,2,-,-,95,94,95,-,-,6,3,1,1,13,12,16,12,100,100,93,95,54,63,97,97,100,100,100,100,-,-,-,-,-,29,6,99,100,100,100,43,0,-,-,-,-,-,-,27,1,-,8822,-,-,-,-,58,57,63,68,66,39,42,41,1,2,2,1,2,2,-,-,-,-,12,21
Cyprus,1244,236,67,1,1,13,1,69,77,81,44,23,21,67,1,1,,2,11,7,3,4,3,3,10,2,6,4,2,2,1,4,3,2,36,21,83,79,-,99,-,99,97,-,9,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,0,1,2,2,6,9,-,-,-,-,-,-,-,-,-,77,56,63,-,-,-,-,-,-,-,-,100,100,100,100,60,-,-,-,21,41,8,31,1,1,27858,Low,90,Yes,Yes,76,73,63,71,70,51,60,58,6,6,6,9,8,8,99,98,87,90,-,-
Czechia,10511,1983,551,0,0,104,2,69,75,78,57,25,32,74,0,0,,0,12,5,3,3,3,2,10,2,7,3,1,2,1,3,3,0,293,150,81,78,86,-,-,100,100,20,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,8,1,0,0,0,4,4,-,-,-,-,-,-,-,-,97,78,79,80,-,-,-,-,-,-,-,-,100,100,100,100,-,-,-,-,25,36,10,24,1,1,23490,Very low,90,Yes,Yes,94,87,68,69,69,51,54,53,2,2,2,2,2,2,97,97,84,79,-,-
Democratic People's Republic of Korea,25972,5940,1700,0,0,344,2,61,61,73,43,27,16,63,1,1,,0,43,60,15,7,17,14,33,10,22,27,8,8,3,15,8,3,5297,2835,76,68,90,100,94,100,92,13,370,107,73,73,73,-,-,95,94,95,-,-,50,59,16,17,16,-,-,88,86,89,-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,94,83,-,-,-,-,-,-,4,5,4,0,0,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94,75,88,78,63,74,1,7,3,1,5,2,-,-,-,-,-,-
Democratic Republic of the Congo,95894,50791,17698,3,3,4035,6,43,52,59,98,92,6,46,4,4,,-1,186,160,79,3,85,72,120,62,42,39,26,37,20,32,28,1,307593,106733,62,39,33,82,43,85,82,5,22000,547,5,6,5,1,20,44,44,44,39,58,1,39,47,47,46,53,29,57,56,57,44,72,-,-,-,-,-,-,-,-,67,66,58,52,36,27,42,77,9,3,-,-,-,-,15,13,17,29,6,38,40,40,40,-,1,8,64,3,16,48,6,42,2,1,581,Medium,-,-,-,39,17,72,59,66,73,46,61,2,10,5,1,8,3,-,-,-,-,-,-
Denmark,5854,1152,310,0,0,63,2,73,77,81,57,25,32,88,1,1,,4,9,6,4,2,4,3,7,3,4,3,2,2,1,3,2,2,222,156,83,85,-,-,-,95,-,21,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,1,0,0,1,10,9,-,-,-,-,-,-,97,75,-,-,84,85,-,-,-,-,-,1,-,-,100,100,100,100,100,-,-,-,23,38,9,28,1,1,60213,Very low,90,Yes,Yes,78,80,64,68,67,55,60,58,4,5,5,4,6,5,82,83,100,100,-,-
Djibouti,1106,409,116,2,1,25,3,48,57,62,54,48,7,78,2,1,,1,118,101,54,3,59,49,92,46,49,44,30,26,12,36,27,1,1316,725,65,48,-,88,23,87,87,11,56,234,14,12,16,-,-,37,38,35,-,-,15,24,8,8,8,-,-,-,-,-,-,-,84,87,31,36,40,39,52,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,91,92,93,91,5,4,74,9,54,16,48,5,42,2,1,3415,-,-,Yes,Yes,-,-,72,65,69,53,48,51,9,13,11,9,14,11,61,52,-,-,-,-
Dominica,72,18,5,0,0,1,2,65,73,73,41,28,13,71,1,1,,1,16,17,36,-4,39,33,13,32,10,13,28,4,3,11,15,-2,34,27,76,-,-,100,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,1,1,3,1,14,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,-,-,-,-,-,-,44,3,-,8111,-,-,No,No,11,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominican Republic,11118,3626,1015,1,1,205,2,56,69,73,53,42,11,83,3,1,,-1,60,40,33,1,36,30,46,27,24,23,23,7,3,15,13,1,6799,4705,76,66,82,98,93,99,98,63,220,107,48,46,50,33,63,63,61,65,47,82,9,68,8,8,7,9,5,87,85,89,81,90,2,1,5,4,10,8,28,25,88,93,70,83,51,71,-,-,-,-,21,9,-,-,4,5,3,31,8,89,92,92,93,17,62,45,12,21,16,49,6,43,2,1,8282,Very low,90,Yes,Yes,46,51,82,79,80,46,56,54,3,5,4,10,10,10,71,70,58,54,4,17
Ecuador,17798,5584,1492,2,1,299,2,57,73,74,51,39,12,64,2,1,,2,54,30,12,4,14,11,42,11,22,14,7,7,2,16,9,3,3722,1989,78,80,79,84,58,97,93,46,200,66,-,-,-,-,-,78,76,81,-,-,28,48,5,5,5,-,-,-,-,-,-,-,18,15,-,-,5,2,22,20,98,98,89,92,78,79,-,-,-,-,49,29,98,99,-,-,-,22,-,-,87,-,-,7,9,60,6,32,14,51,5,46,3,1,6184,Low,80,No,Yes,43,44,87,78,81,64,52,55,1,4,3,2,6,5,65,61,60,43,-,-
Egypt,109262,41988,12368,2,1,2465,3,50,68,70,61,53,8,43,2,2,,0,86,47,19,4,20,18,63,16,33,22,10,11,4,17,9,3,46892,24704,73,70,80,90,83,92,87,52,420,17,47,48,47,34,50,-,-,-,-,-,-,-,4,4,4,7,2,-,-,-,-,-,63,63,-,-,3,2,23,24,91,92,79,81,43,41,-,-,-,27,-,21,-,-,5,6,4,17,0,98,99,100,99,100,-,-,-,-,22,41,9,32,1,1,3019,-,-,No,No,67,67,73,69,71,18,20,19,6,8,7,18,26,21,99,100,39,27,-,-
El Salvador,6314,1967,508,0,0,101,2,51,70,71,51,39,12,74,1,1,,-4,60,33,12,5,14,11,46,11,23,15,6,6,4,20,9,4,1268,618,75,76,80,96,90,100,98,32,44,43,25,24,26,19,44,59,57,62,45,78,18,62,4,4,3,4,4,81,79,83,79,86,15,12,7,7,-,-,42,41,84,89,73,74,34,36,-,-,-,-,-,-,98,99,7,6,7,26,-,-,91,91,91,11,9,57,10,28,17,46,6,41,2,1,4187,Low,90,Yes,Yes,37,31,79,74,76,35,51,45,3,5,4,4,4,4,81,78,38,24,7,20
Equatorial Guinea,1634,722,230,4,2,50,4,30,53,61,72,67,5,74,6,3,,4,179,156,77,3,83,70,121,57,50,46,28,35,15,19,15,1,3768,1416,63,43,21,91,67,68,67,7,110,212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,55,56,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,4,-,54,53,54,-,-,-,-,-,-,-,-,50,-,-,8132,-,-,No,Yes,-,-,64,69,67,52,56,55,6,9,8,6,9,8,-,-,-,-,-,-
Eritrea,3620,1712,486,2,2,104,4,41,56,67,78,71,7,42,4,3,,-4,153,85,38,4,43,33,94,29,35,27,17,41,7,21,16,1,3892,1799,69,50,21,89,57,34,34,3,330,322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,73,45,50,32,40,45,53,-,-,-,-,-,-,-,-,-,-,-,-,94,93,-,-,-,41,2,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,643,-,-,No,No,-,-,92,74,86,76,62,72,4,13,6,4,13,7,-,-,-,-,-,-
Estonia,1329,260,71,0,0,14,2,70,71,77,58,26,32,69,0,0,,2,18,11,2,8,2,2,14,2,10,5,1,5,1,5,2,4,28,12,81,78,-,-,97,100,99,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,3,2,2,1,2,2,-,-,-,-,-,-,-,-,-,-,89,90,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,21,38,8,31,1,1,23718,Very low,-,Yes,Yes,85,86,65,74,71,52,60,58,5,4,4,5,5,5,-,-,-,-,-,-
Eswatini,1192,493,140,1,1,29,3,51,47,57,64,57,7,24,1,2,,-4,68,112,53,4,57,48,52,41,23,29,23,11,11,16,14,1,1526,670,61,58,83,99,76,88,88,12,69,240,30,26,33,28,48,39,33,44,25,59,6,67,17,16,17,18,15,65,64,66,61,77,-,-,15,16,3,3,14,18,64,77,47,54,31,33,-,-,-,-,-,-,94,97,8,8,7,5,1,38,54,51,50,14,-,47,13,23,11,60,4,55,4,1,3895,-,-,No,No,7,13,52,71,57,43,64,49,23,15,21,25,22,24,-,-,-,-,-,-
Ethiopia,120283,56315,17798,3,2,3896,4,43,51,65,76,70,6,22,5,4,,0,201,140,47,5,52,41,120,34,59,48,26,74,7,33,21,2,177737,101951,68,38,64,74,43,50,48,2,10000,267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,59,9,17,45,49,73,75,47,48,19,22,11,14,-,-,55,73,29,18,-,-,45,51,39,40,5,2,3,3,3,-,5,39,27,17,19,43,7,33,1,1,856,Low,30,Yes,Yes,13,6,89,73,85,77,63,73,1,4,2,2,6,3,-,-,41,29,-,-
Fiji,925,316,90,0,1,18,2,62,66,67,53,44,9,58,1,1,,-6,29,23,28,-1,30,25,24,23,13,10,14,12,5,10,9,1,501,247,69,61,-,98,89,100,100,20,7,38,22,23,20,23,25,97,97,97,95,99,24,75,13,15,12,14,9,-,-,-,-,-,11,15,1,1,-,-,24,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,20,13,4,2,71,87,87,86,25,3,35,24,17,19,45,8,37,2,1,6176,-,-,Yes,Yes,42,47,81,72,77,37,39,38,2,5,4,4,6,5,-,-,-,-,-,-
Finland,5536,1036,244,0,0,47,1,70,78,82,62,25,37,86,1,0,,3,7,4,2,3,2,2,6,2,4,2,1,2,1,3,2,2,102,60,85,83,-,100,-,100,100,16,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,2,1,0,3,5,-,-,-,-,-,-,-,-,98,78,86,85,-,-,-,-,-,0,-,-,100,100,100,100,100,-,-,-,23,37,9,26,1,1,48771,Very low,100,Yes,Yes,76,78,59,65,63,52,57,56,6,8,7,5,7,6,99,98,100,100,-,-
France,64531,13568,3408,0,0,677,2,72,79,82,63,28,35,81,1,0,,0,9,5,4,1,5,4,7,3,4,3,3,2,1,5,3,2,2985,1713,86,84,96,100,99,98,98,21,54,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,5,4,-,-,-,-,-,-,-,-,94,57,79,79,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,21,41,8,29,1,1,40496,Very low,90,Yes,Yes,75,70,59,60,60,51,51,51,6,10,9,7,9,8,80,78,97,91,-,-
Gabon,2341,985,307,3,2,64,3,53,61,66,68,61,7,90,3,2,,1,92,84,40,4,44,36,60,29,31,28,19,18,12,18,14,1,2512,1203,69,49,44,95,78,89,90,10,140,227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,23,32,29,44,40,66,75,32,33,14,14,66,89,76,23,-,-,88,91,20,19,17,22,5,88,90,91,88,-,-,-,-,-,17,44,6,38,2,1,7767,High,-,Yes,Yes,-,-,59,64,62,41,45,43,12,15,14,27,28,28,-,-,-,-,-,-
Gambia,2640,1331,412,3,2,88,5,40,57,62,85,80,5,63,4,3,,-1,167,114,48,4,53,43,81,34,50,40,25,33,10,27,21,1,4138,2221,64,48,40,98,79,84,84,4,400,458,24,23,25,19,40,16,15,18,11,31,1,49,16,17,16,18,16,67,65,69,63,78,42,37,19,8,22,7,48,37,64,60,50,48,33,28,5,4,-,-,-,-,-,-,17,17,17,23,0,41,59,60,58,-,-,87,8,4,19,44,7,36,2,1,778,-,-,Yes,Yes,2,1,66,69,68,53,50,51,4,9,7,10,14,12,-,-,-,-,-,-
Georgia,3758,920,261,-1,0,50,2,64,70,72,55,33,23,60,0,0,,-1,48,37,9,7,11,8,41,8,25,23,5,4,2,16,6,5,474,272,77,65,51,98,85,100,99,41,14,28,78,77,79,61,87,78,78,77,68,85,57,66,4,3,5,4,3,90,91,89,88,92,-,-,1,0,2,1,6,4,100,100,98,98,79,83,-,-,86,56,36,39,100,100,2,2,1,14,1,98,99,99,99,26,48,66,8,44,19,43,7,36,2,1,4698,Low,-,Yes,No,93,92,80,67,73,66,48,55,6,19,13,5,16,10,93,90,58,64,-,-
Germany,83409,13836,3971,0,0,763,2,71,78,81,56,22,35,78,0,0,,4,9,5,4,2,4,3,7,3,3,3,2,2,1,3,3,0,2723,1673,83,86,-,100,99,96,99,29,34,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,2,0,5,3,14,15,-,-,-,-,-,-,-,-,95,75,79,79,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,20,40,8,30,1,1,46468,Very low,-,Yes,Yes,87,80,68,67,67,57,55,56,2,4,4,2,3,3,-,-,-,-,-,-
Ghana,32833,14291,4306,2,2,905,4,48,58,64,69,63,6,58,4,3,,0,128,100,44,4,48,39,80,33,42,36,23,25,10,28,21,1,39423,20641,66,45,40,97,85,79,78,13,2400,263,71,71,70,46,94,34,35,33,20,60,7,50,30,30,30,39,21,68,65,72,54,87,8,6,7,5,9,6,25,25,69,73,45,50,12,9,6,8,-,-,-,-,93,92,20,19,22,19,4,57,71,72,69,42,26,82,4,58,14,49,5,44,2,1,2202,Medium,-,No,No,27,15,72,71,72,65,63,64,2,6,4,3,6,4,-,-,-,-,-,-
Greece,10445,1794,433,0,0,79,1,73,78,80,58,22,35,80,0,0,,-1,10,6,4,3,4,3,9,3,6,4,2,2,1,5,3,2,299,178,83,78,-,-,-,100,-,-,6,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,1,1,3,4,4,6,-,-,-,-,-,-,-,-,-,-,69,64,99,99,-,-,-,-,-,-,100,100,100,100,-,-,-,-,20,40,7,31,1,1,19581,Low,-,Yes,Yes,68,62,58,61,60,41,46,45,12,15,14,19,22,22,-,-,-,-,-,-
Grenada,125,35,10,1,0,2,2,66,73,75,51,36,15,37,1,1,,-1,22,15,16,0,17,15,18,14,12,8,10,5,4,9,9,0,32,20,78,70,-,100,-,100,-,-,0,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,16,4,3,-,-,12,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,-,-,-,-,-,-,-,37,2,-,10809,-,-,No,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,95,-,-,-,-
Guatemala,17608,6930,1927,2,1,372,2,49,67,69,61,53,8,52,3,2,,-2,80,52,23,4,25,21,60,20,28,21,11,13,3,20,13,2,8704,4021,73,57,66,91,86,70,65,26,360,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,17,11,10,33,37,62,64,80,76,52,45,27,25,-,-,-,-,30,11,95,94,-,-,-,29,10,89,96,-,-,18,3,56,10,30,13,54,5,45,2,1,4620,Low,60,No,Yes,26,22,90,83,86,32,48,41,1,3,2,3,4,3,64,57,46,42,3,19
Guinea,13532,6562,2097,2,2,466,4,39,52,59,82,76,6,37,3,3,,0,233,166,99,3,106,91,138,64,62,46,31,43,18,30,23,1,44995,14486,60,37,38,81,35,55,53,3,2600,553,9,9,9,3,32,31,33,30,22,51,0,32,34,36,33,38,36,49,48,50,45,51,51,55,8,21,46,62,63,78,52,39,33,20,22,13,23,60,22,7,-,-,70,43,24,24,25,47,2,57,62,62,62,-,-,-,-,-,20,42,8,34,1,1,963,Very high,50,Yes,No,12,3,64,51,60,67,54,63,3,11,5,2,7,3,86,69,27,20,-,-
